{'kernel': 'sigmoid', 'degree': 3, 'gamma': 0.16, 'coef0': 0.83, 'C': 2, 'epsilon': 0.22, 'rsme': 7.974701182100031}
{'kernel': 'linear', 'degree': 4, 'gamma': 0.32, 'coef0': 0.83, 'C': 51, 'epsilon': 0.4, 'rsme': 9.611556682999177}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.43, 'coef0': 0.44, 'C': 53, 'epsilon': 0.35, 'rsme': 8.513731701427725}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.86, 'coef0': 0.16, 'C': 69, 'epsilon': 0.26, 'rsme': 7.733802821796373}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.13, 'coef0': 0.35, 'C': 72, 'epsilon': 0.29, 'rsme': 7.774735156296708}
{'kernel': 'poly', 'degree': 4, 'gamma': 0.29, 'coef0': 0.62, 'C': 61, 'epsilon': 0.4, 'rsme': 9.323078246530269}
{'kernel': 'poly', 'degree': 4, 'gamma': 0.71, 'coef0': 0.94, 'C': 97, 'epsilon': 0.12, 'rsme': 6.9871359527038495}
{'kernel': 'linear', 'degree': 4, 'gamma': 0.18, 'coef0': 0.6, 'C': 54, 'epsilon': 0.43, 'rsme': 9.121715856594026}
{'kernel': 'rbf', 'degree': 3, 'gamma': 0.29, 'coef0': 0.11, 'C': 4, 'epsilon': 0.19, 'rsme': 7.335075545068514}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.23, 'coef0': 0.55, 'C': 57, 'epsilon': 0.19, 'rsme': 7.652230634840902}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.81, 'coef0': 0.4, 'C': 6, 'epsilon': 0.21, 'rsme': 7.369861797889743}
{'kernel': 'rbf', 'degree': 3, 'gamma': 0.87, 'coef0': 0.99, 'C': 43, 'epsilon': 0.15, 'rsme': 7.052657708583723}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.42, 'coef0': 0.17, 'C': 5, 'epsilon': 0.2, 'rsme': 7.583308136054005}
{'kernel': 'linear', 'degree': 3, 'gamma': 0.73, 'coef0': 0.58, 'C': 6, 'epsilon': 0.23, 'rsme': 7.946226163862198}
{'kernel': 'linear', 'degree': 3, 'gamma': 0.11, 'coef0': 0.12, 'C': 5, 'epsilon': 0.21, 'rsme': 7.799490479741681}
{'kernel': 'sigmoid', 'degree': 2, 'gamma': 0.42, 'coef0': 0.8, 'C': 43, 'epsilon': 0.18, 'rsme': 1493.754446607697}
{'kernel': 'linear', 'degree': 4, 'gamma': 0.83, 'coef0': 0.41, 'C': 53, 'epsilon': 0.2, 'rsme': 7.697718831956984}
{'kernel': 'linear', 'degree': 4, 'gamma': 0.99, 'coef0': 0.56, 'C': 59, 'epsilon': 0.39, 'rsme': 9.01616400445402}
{'kernel': 'rbf', 'degree': 3, 'gamma': 0.2, 'coef0': 0.44, 'C': 27, 'epsilon': 0.21, 'rsme': 7.442289775755837}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.99, 'coef0': 0.62, 'C': 65, 'epsilon': 0.12, 'rsme': 7.3372326781048915}
{'kernel': 'sigmoid', 'degree': 3, 'gamma': 0.56, 'coef0': 0.58, 'C': 6, 'epsilon': 0.45, 'rsme': 9.198149722448695}
{'kernel': 'sigmoid', 'degree': 3, 'gamma': 0.42, 'coef0': 0.99, 'C': 81, 'epsilon': 0.28, 'rsme': 2447.965932367879}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.89, 'coef0': 0.25, 'C': 35, 'epsilon': 0.22, 'rsme': 7.58494146716454}
{'kernel': 'rbf', 'degree': 3, 'gamma': 0.97, 'coef0': 0.15, 'C': 74, 'epsilon': 0.22, 'rsme': 7.3924600615409215}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.47, 'coef0': 0.96, 'C': 2, 'epsilon': 0.11, 'rsme': 7.138861885675265}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.33, 'coef0': 0.67, 'C': 91, 'epsilon': 0.33, 'rsme': 8.65143672736428}
{'kernel': 'sigmoid', 'degree': 2, 'gamma': 0.88, 'coef0': 0.51, 'C': 82, 'epsilon': 0.4, 'rsme': 12496.742979372793}
{'kernel': 'rbf', 'degree': 2, 'gamma': 0.47, 'coef0': 0.84, 'C': 95, 'epsilon': 0.17, 'rsme': 7.143758865684242}
{'kernel': 'linear', 'degree': 3, 'gamma': 0.2, 'coef0': 0.28, 'C': 82, 'epsilon': 0.15, 'rsme': 7.376267030659316}
{'kernel': 'linear', 'degree': 4, 'gamma': 0.39, 'coef0': 0.82, 'C': 42, 'epsilon': 0.36, 'rsme': 8.798065594043218}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.94, 'coef0': 0.61, 'C': 62, 'epsilon': 0.3, 'rsme': 8.2352869122482}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.6, 'coef0': 0.76, 'C': 5, 'epsilon': 0.49, 'rsme': 12.393467277973222}
{'kernel': 'rbf', 'degree': 3, 'gamma': 0.83, 'coef0': 0.93, 'C': 97, 'epsilon': 0.21, 'rsme': 7.3077431973673015}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.1, 'coef0': 0.72, 'C': 73, 'epsilon': 0.38, 'rsme': 9.05946922977195}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.66, 'coef0': 0.75, 'C': 73, 'epsilon': 0.18, 'rsme': 7.222955924438267}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.39, 'coef0': 0.67, 'C': 7, 'epsilon': 0.17, 'rsme': 7.22165101344078}
{'kernel': 'rbf', 'degree': 3, 'gamma': 0.29, 'coef0': 0.58, 'C': 16, 'epsilon': 0.37, 'rsme': 8.133931485513502}
{'kernel': 'rbf', 'degree': 2, 'gamma': 0.12, 'coef0': 0.87, 'C': 7, 'epsilon': 0.24, 'rsme': 7.760298265345587}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.22, 'coef0': 0.33, 'C': 94, 'epsilon': 0.49, 'rsme': 12.73896358826871}
{'kernel': 'sigmoid', 'degree': 2, 'gamma': 0.89, 'coef0': 0.61, 'C': 32, 'epsilon': 0.36, 'rsme': 5197.833453113016}
{'kernel': 'poly', 'degree': 4, 'gamma': 0.18, 'coef0': 0.55, 'C': 27, 'epsilon': 0.26, 'rsme': 7.991431282617246}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.16, 'coef0': 0.98, 'C': 35, 'epsilon': 0.1, 'rsme': 7.340762533525062}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.39, 'coef0': 0.53, 'C': 82, 'epsilon': 0.46, 'rsme': 11.998884155101809}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.39, 'coef0': 0.86, 'C': 49, 'epsilon': 0.22, 'rsme': 7.460817064537911}
{'kernel': 'poly', 'degree': 4, 'gamma': 0.64, 'coef0': 0.72, 'C': 53, 'epsilon': 0.25, 'rsme': 7.699737106326758}
{'kernel': 'rbf', 'degree': 3, 'gamma': 0.65, 'coef0': 0.85, 'C': 48, 'epsilon': 0.13, 'rsme': 7.042701816796473}
{'kernel': 'linear', 'degree': 4, 'gamma': 0.42, 'coef0': 0.35, 'C': 39, 'epsilon': 0.41, 'rsme': 9.724682874399125}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.35, 'coef0': 0.62, 'C': 66, 'epsilon': 0.27, 'rsme': 8.118311033392109}
{'kernel': 'sigmoid', 'degree': 3, 'gamma': 0.18, 'coef0': 0.52, 'C': 78, 'epsilon': 0.43, 'rsme': 255.81616763645957}
{'kernel': 'sigmoid', 'degree': 4, 'gamma': 0.4, 'coef0': 0.16, 'C': 20, 'epsilon': 0.28, 'rsme': 249.68712560094548}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.34, 'coef0': 0.83, 'C': 64, 'epsilon': 0.44, 'rsme': 11.056310114128756}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.78, 'coef0': 0.73, 'C': 94, 'epsilon': 0.25, 'rsme': 7.688539939411818}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.74, 'coef0': 0.8, 'C': 4, 'epsilon': 0.13, 'rsme': 7.389386520181876}
{'kernel': 'sigmoid', 'degree': 3, 'gamma': 0.63, 'coef0': 0.82, 'C': 84, 'epsilon': 0.11, 'rsme': 6530.405343516697}
{'kernel': 'sigmoid', 'degree': 3, 'gamma': 0.52, 'coef0': 0.7, 'C': 42, 'epsilon': 0.32, 'rsme': 2319.4131100054615}
{'kernel': 'linear', 'degree': 4, 'gamma': 0.77, 'coef0': 0.12, 'C': 18, 'epsilon': 0.27, 'rsme': 8.066329771725613}
{'kernel': 'sigmoid', 'degree': 4, 'gamma': 0.34, 'coef0': 0.25, 'C': 46, 'epsilon': 0.3, 'rsme': 630.4658612994641}
{'kernel': 'linear', 'degree': 3, 'gamma': 0.64, 'coef0': 0.3, 'C': 11, 'epsilon': 0.19, 'rsme': 7.695013336715675}
{'kernel': 'rbf', 'degree': 3, 'gamma': 0.56, 'coef0': 0.46, 'C': 62, 'epsilon': 0.12, 'rsme': 7.051107605650127}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.59, 'coef0': 0.27, 'C': 31, 'epsilon': 0.31, 'rsme': 7.803737661146116}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.99, 'coef0': 0.62, 'C': 69, 'epsilon': 0.22, 'rsme': 7.787916492900199}
{'kernel': 'sigmoid', 'degree': 3, 'gamma': 0.44, 'coef0': 0.13, 'C': 61, 'epsilon': 0.18, 'rsme': 790.2653751310789}
{'kernel': 'sigmoid', 'degree': 4, 'gamma': 0.65, 'coef0': 0.48, 'C': 99, 'epsilon': 0.47, 'rsme': 8016.2852678578465}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.69, 'coef0': 0.32, 'C': 16, 'epsilon': 0.49, 'rsme': 12.30887903981612}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.74, 'coef0': 0.68, 'C': 7, 'epsilon': 0.38, 'rsme': 8.586513720431675}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.34, 'coef0': 0.29, 'C': 95, 'epsilon': 0.36, 'rsme': 8.728018459448023}
{'kernel': 'poly', 'degree': 4, 'gamma': 0.45, 'coef0': 0.79, 'C': 93, 'epsilon': 0.27, 'rsme': 7.833885945849829}
{'kernel': 'poly', 'degree': 4, 'gamma': 0.38, 'coef0': 0.66, 'C': 64, 'epsilon': 0.48, 'rsme': 12.388304813877967}
